lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,33.0,32.0,51.0,79.0,87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24,0,0,1,0,0,0,0,24,30,1
33.0,32.0,51.0,79.0,87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66,0,0,0,1,0,0,0,66,31,1
32.0,51.0,79.0,87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23,0,1,0,0,0,0,0,23,1,2
51.0,79.0,87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36,0,0,0,0,0,1,0,36,2,2
79.0,87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29,0,0,0,0,0,0,1,29,3,2
87.0,66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28,0,0,0,0,1,0,0,28,4,2
66.0,22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30,1,0,0,0,0,0,0,30,5,2
22.0,16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58,0,0,1,0,0,0,0,58,6,2
16.0,18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54,0,0,0,1,0,0,0,54,7,2
18.0,41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28,0,1,0,0,0,0,0,28,8,2
41.0,25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31,0,0,0,0,0,1,0,31,9,2
25.0,56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36,0,0,0,0,0,0,1,36,10,2
56.0,66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24,0,0,0,0,1,0,0,24,11,2
66.0,41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42,1,0,0,0,0,0,0,42,12,2
41.0,19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35,0,0,1,0,0,0,0,35,13,2
19.0,15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42,0,0,0,1,0,0,0,42,14,2
15.0,22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54,0,1,0,0,0,0,0,54,15,2
22.0,59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25,0,0,0,0,0,1,0,25,16,2
59.0,73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31,0,0,0,0,0,0,1,31,17,2
73.0,54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27,0,0,0,0,1,0,0,27,18,2
54.0,57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40,1,0,0,0,0,0,0,40,19,2
57.0,74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25,0,0,1,0,0,0,0,25,20,2
74.0,80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15,0,0,0,1,0,0,0,15,21,2
80.0,69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26,0,1,0,0,0,0,0,26,22,2
69.0,23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36,0,0,0,0,0,1,0,36,23,2
23.0,55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14,0,0,0,0,0,0,1,14,24,2
55.0,27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19,0,0,0,0,1,0,0,19,25,2
27.0,24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15,1,0,0,0,0,0,0,15,26,2
24.0,66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35,0,0,1,0,0,0,0,35,27,2
66.0,23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41,0,0,0,1,0,0,0,41,28,2
23.0,36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35,0,1,0,0,0,0,0,35,29,2
36.0,29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15,0,0,0,0,0,1,0,15,1,3
29.0,28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21,0,0,0,0,0,0,1,21,2,3
28.0,30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21,0,0,0,0,1,0,0,21,3,3
30.0,58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21.0,33,1,0,0,0,0,0,0,33,4,3
58.0,54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21.0,33.0,38,0,0,1,0,0,0,0,38,5,3
54.0,28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21.0,33.0,38.0,55,0,0,0,1,0,0,0,55,6,3
28.0,31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21.0,33.0,38.0,55.0,66,0,1,0,0,0,0,0,66,7,3
31.0,36.0,24.0,42.0,35.0,42.0,54.0,25.0,31.0,27.0,40.0,25.0,15.0,26.0,36.0,14.0,19.0,15.0,35.0,41.0,35.0,15.0,21.0,21.0,33.0,38.0,55.0,66.0,66,0,0,0,0,0,1,0,66,8,3
