lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
6.0,4.0,5.0,13.0,6.0,11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12,0,0,0,0,1,0,0,12,23,6
4.0,5.0,13.0,6.0,11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13,0,0,0,0,0,0,1,13,29,6
5.0,13.0,6.0,11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15,0,0,0,0,0,1,0,15,5,7
13.0,6.0,11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17,0,1,0,0,0,0,0,17,11,7
6.0,11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16,0,0,0,1,0,0,0,16,17,7
11.0,5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16.0,21,0,0,1,0,0,0,0,21,23,7
5.0,6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16.0,21.0,12,1,0,0,0,0,0,0,12,29,7
6.0,4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16.0,21.0,12.0,12,0,0,0,0,1,0,0,12,4,8
4.0,10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16.0,21.0,12.0,12.0,17,0,0,0,0,0,0,1,17,10,8
10.0,8.0,19.0,6.0,9.0,7.0,8.0,6.0,12.0,6.0,6.0,4.0,16.0,11.0,13.0,13.0,11.0,21.0,9.0,12.0,13.0,15.0,17.0,16.0,21.0,12.0,12.0,17.0,14,0,0,0,0,0,1,0,14,16,8
