lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
18.0,14.0,15.0,18.0,35.0,49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28,0,0,1,0,0,0,0,28,30,1
14.0,15.0,18.0,35.0,49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49,0,0,0,1,0,0,0,49,31,1
15.0,18.0,35.0,49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33,0,1,0,0,0,0,0,33,1,2
18.0,35.0,49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27,0,0,0,0,0,1,0,27,2,2
35.0,49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25,0,0,0,0,0,0,1,25,3,2
49.0,58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22,0,0,0,0,1,0,0,22,4,2
58.0,26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18,1,0,0,0,0,0,0,18,5,2
26.0,19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27,0,0,1,0,0,0,0,27,6,2
19.0,22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43,0,0,0,1,0,0,0,43,7,2
22.0,17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49,0,1,0,0,0,0,0,49,8,2
17.0,20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19,0,0,0,0,0,1,0,19,9,2
20.0,26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23,0,0,0,0,0,0,1,23,10,2
26.0,62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20,0,0,0,0,1,0,0,20,11,2
62.0,17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26,1,0,0,0,0,0,0,26,12,2
17.0,11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18,0,0,1,0,0,0,0,18,13,2
11.0,14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18,0,0,0,1,0,0,0,18,14,2
14.0,18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25,0,1,0,0,0,0,0,25,15,2
18.0,31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22,0,0,0,0,0,0,1,22,17,2
31.0,26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26,0,0,0,0,1,0,0,26,18,2
26.0,38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27,1,0,0,0,0,0,0,27,19,2
38.0,14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53,0,0,1,0,0,0,0,53,20,2
14.0,31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45,0,0,0,1,0,0,0,45,21,2
31.0,59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35,0,1,0,0,0,0,0,35,22,2
59.0,69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12,0,0,0,0,0,1,0,12,23,2
69.0,31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7,0,0,0,0,0,0,1,7,24,2
31.0,55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5,0,0,0,0,1,0,0,5,25,2
55.0,20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9,1,0,0,0,0,0,0,9,26,2
20.0,28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9.0,22,0,0,1,0,0,0,0,22,27,2
28.0,49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9.0,22.0,22,0,0,0,1,0,0,0,22,28,2
49.0,33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9.0,22.0,22.0,21,0,1,0,0,0,0,0,21,29,2
33.0,27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9.0,22.0,22.0,21.0,28,0,0,0,0,0,1,0,28,1,3
27.0,25.0,22.0,18.0,27.0,43.0,49.0,19.0,23.0,20.0,26.0,18.0,18.0,25.0,22.0,26.0,27.0,53.0,45.0,35.0,12.0,7.0,5.0,9.0,22.0,22.0,21.0,28.0,10,0,0,0,0,0,0,1,10,2,3
