lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
22.0,10.0,7.0,25.0,9.0,10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10,0,0,0,0,0,1,0,10,5,7
10.0,7.0,25.0,9.0,10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13,0,1,0,0,0,0,0,13,11,7
7.0,25.0,9.0,10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13,0,0,0,1,0,0,0,13,17,7
25.0,9.0,10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16,0,0,1,0,0,0,0,16,23,7
9.0,10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14,1,0,0,0,0,0,0,14,29,7
10.0,10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12,0,0,0,0,1,0,0,12,4,8
10.0,8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13,0,0,0,0,0,0,1,13,10,8
8.0,5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11,0,0,0,0,0,0,1,11,17,8
5.0,6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9,0,1,0,0,0,0,0,9,22,8
6.0,12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16,0,0,0,1,0,0,0,16,28,8
12.0,12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11,0,0,1,0,0,0,0,11,3,9
12.0,5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11.0,15,1,0,0,0,0,0,0,15,9,9
5.0,9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11.0,15.0,11,0,0,0,0,1,0,0,11,15,9
9.0,8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11.0,15.0,11.0,16,0,0,0,0,0,0,1,16,21,9
8.0,6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11.0,15.0,11.0,16.0,11,0,0,0,0,0,1,0,11,27,9
6.0,14.0,6.0,22.0,4.0,6.0,10.0,12.0,9.0,8.0,15.0,10.0,7.0,10.0,13.0,13.0,16.0,14.0,12.0,13.0,11.0,9.0,16.0,11.0,15.0,11.0,16.0,11.0,11,0,1,0,0,0,0,0,11,3,10
