lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,17.0,12.0,16.0,14.0,8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7,0,1,0,0,0,0,0,7,28,3
17.0,12.0,16.0,14.0,8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19,0,0,0,0,1,0,0,19,31,3
12.0,16.0,14.0,8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21,0,0,0,1,0,0,0,21,3,4
16.0,14.0,8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15,0,0,0,0,0,0,1,15,6,4
14.0,8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33,0,0,1,0,0,0,0,33,9,4
8.0,10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11,0,0,0,0,0,1,0,11,12,4
10.0,10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15,1,0,0,0,0,0,0,15,15,4
10.0,29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20,0,1,0,0,0,0,0,20,18,4
29.0,5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19,0,0,0,0,1,0,0,19,21,4
5.0,16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13,0,0,0,1,0,0,0,13,24,4
16.0,15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25,0,0,0,0,0,0,1,25,27,4
15.0,19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11,0,0,1,0,0,0,0,11,30,4
19.0,40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20,0,0,0,0,0,1,0,20,3,5
40.0,4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21,1,0,0,0,0,0,0,21,6,5
4.0,5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21.0,24,0,1,0,0,0,0,0,24,9,5
5.0,13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21.0,24.0,21,0,0,0,0,1,0,0,21,12,5
13.0,12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21.0,24.0,21.0,3,0,0,0,1,0,0,0,3,15,5
12.0,16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21.0,24.0,21.0,3.0,32,0,0,0,0,0,0,1,32,18,5
16.0,11.0,17.0,4.0,9.0,3.0,7.0,11.0,5.0,10.0,7.0,19.0,21.0,15.0,33.0,11.0,15.0,20.0,19.0,13.0,25.0,11.0,20.0,21.0,24.0,21.0,3.0,32.0,9,0,0,1,0,0,0,0,9,21,5
