lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,35.0,47.0,60.0,66.0,33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5,0,0,1,0,0,0,0,5,30,1
35.0,47.0,60.0,66.0,33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11,0,0,0,1,0,0,0,11,31,1
47.0,60.0,66.0,33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10,0,1,0,0,0,0,0,10,1,2
60.0,66.0,33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22,0,0,0,0,0,1,0,22,2,2
66.0,33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27,0,0,0,0,0,0,1,27,3,2
33.0,51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5,0,0,0,0,1,0,0,5,4,2
51.0,41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16,1,0,0,0,0,0,0,16,5,2
41.0,33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24,0,0,1,0,0,0,0,24,6,2
33.0,55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39,0,0,0,1,0,0,0,39,7,2
55.0,56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41,0,1,0,0,0,0,0,41,8,2
56.0,10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40,0,0,0,0,0,1,0,40,9,2
10.0,21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55,0,0,0,0,0,0,1,55,10,2
21.0,31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51,0,0,0,0,1,0,0,51,11,2
31.0,31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44,1,0,0,0,0,0,0,44,12,2
31.0,30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5,0,0,1,0,0,0,0,5,13,2
30.0,22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4,0,0,0,1,0,0,0,4,14,2
22.0,18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9,0,1,0,0,0,0,0,9,15,2
18.0,10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13,0,0,0,0,0,1,0,13,16,2
10.0,18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23,0,0,0,0,0,0,1,23,17,2
18.0,17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4,0,0,0,0,1,0,0,4,18,2
17.0,15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4.0,3,1,0,0,0,0,0,0,3,19,2
15.0,13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4.0,3.0,18,0,0,1,0,0,0,0,18,20,2
13.0,37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4.0,3.0,18.0,25,0,0,0,1,0,0,0,25,21,2
37.0,31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4.0,3.0,18.0,25.0,26,0,1,0,0,0,0,0,26,22,2
31.0,55.0,10.0,7.0,5.0,11.0,10.0,22.0,27.0,5.0,16.0,24.0,39.0,41.0,40.0,55.0,51.0,44.0,5.0,4.0,9.0,13.0,23.0,4.0,3.0,18.0,25.0,26.0,33,0,0,0,0,0,1,0,33,23,2
