lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
10.0,11.0,13.0,19.0,34.0,75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23,0,0,1,0,0,0,0,23,30,1
11.0,13.0,19.0,34.0,75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39,0,0,0,1,0,0,0,39,31,1
13.0,19.0,34.0,75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21,0,1,0,0,0,0,0,21,1,2
19.0,34.0,75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13,0,0,0,0,0,1,0,13,2,2
34.0,75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24,0,0,0,0,0,0,1,24,3,2
75.0,29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24.0,10,0,0,0,0,1,0,0,10,4,2
29.0,19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24.0,10.0,10,1,0,0,0,0,0,0,10,5,2
19.0,17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24.0,10.0,10.0,44,0,0,1,0,0,0,0,44,6,2
17.0,9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24.0,10.0,10.0,44.0,33,0,0,0,1,0,0,0,33,7,2
9.0,13.0,51.0,17.0,40.0,46.0,7.0,10.0,48.0,18.0,13.0,53.0,10.0,23.0,67.0,13.0,11.0,42.0,14.0,23.0,39.0,21.0,13.0,24.0,10.0,10.0,44.0,33.0,67,0,1,0,0,0,0,0,67,8,2
