lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,39.0,51.0,77.0,108.0,101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31,0,0,0,0,0,0,1,31,11,5
39.0,51.0,77.0,108.0,101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31,0,0,0,0,1,0,0,31,12,5
51.0,77.0,108.0,101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31,1,0,0,0,0,0,0,31,13,5
77.0,108.0,101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30,0,0,1,0,0,0,0,30,14,5
108.0,101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40,0,0,0,1,0,0,0,40,15,5
101.0,108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42,0,1,0,0,0,0,0,42,16,5
108.0,32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41,0,0,0,0,0,1,0,41,17,5
32.0,50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48,0,0,0,0,0,0,1,48,18,5
50.0,44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64,0,0,0,0,1,0,0,64,19,5
44.0,34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71,1,0,0,0,0,0,0,71,20,5
34.0,43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74,0,0,1,0,0,0,0,74,21,5
43.0,42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77,0,0,0,1,0,0,0,77,22,5
42.0,51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80,0,1,0,0,0,0,0,80,23,5
51.0,36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64,0,0,0,0,0,1,0,64,24,5
36.0,39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74,0,0,0,0,0,0,1,74,25,5
39.0,42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74,0,0,0,0,1,0,0,74,26,5
42.0,42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42,1,0,0,0,0,0,0,42,27,5
42.0,37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47,0,0,1,0,0,0,0,47,28,5
37.0,43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44,0,0,0,1,0,0,0,44,29,5
43.0,41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71,0,1,0,0,0,0,0,71,30,5
41.0,48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47,0,0,0,0,0,1,0,47,31,5
48.0,40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44,0,0,0,0,0,0,1,44,1,6
40.0,50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40,0,0,0,0,1,0,0,40,2,6
50.0,40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61,1,0,0,0,0,0,0,61,3,6
40.0,45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48,0,0,1,0,0,0,0,48,4,6
45.0,44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43,0,0,0,1,0,0,0,43,5,6
44.0,30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38,0,1,0,0,0,0,0,38,6,6
30.0,31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31,0,0,0,0,0,1,0,31,7,6
31.0,31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31.0,41,0,0,0,0,0,0,1,41,8,6
31.0,31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31.0,41.0,45,0,0,0,0,1,0,0,45,9,6
31.0,30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31.0,41.0,45.0,84,1,0,0,0,0,0,0,84,10,6
30.0,40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31.0,41.0,45.0,84.0,49,0,0,1,0,0,0,0,49,11,6
40.0,42.0,41.0,48.0,64.0,71.0,74.0,77.0,80.0,64.0,74.0,74.0,42.0,47.0,44.0,71.0,47.0,44.0,40.0,61.0,48.0,43.0,38.0,31.0,41.0,45.0,84.0,49.0,39,0,0,0,1,0,0,0,39,12,6
