lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
41.0,42.0,49.0,54.0,87.0,108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35,0,0,0,0,0,1,0,35,10,5
42.0,49.0,54.0,87.0,108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36,0,0,0,0,0,0,1,36,11,5
49.0,54.0,87.0,108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34,0,0,0,0,1,0,0,34,12,5
54.0,87.0,108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30,1,0,0,0,0,0,0,30,13,5
87.0,108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28,0,0,1,0,0,0,0,28,14,5
108.0,105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39,0,0,0,1,0,0,0,39,15,5
105.0,36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41,0,1,0,0,0,0,0,41,16,5
36.0,50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38,0,0,0,0,0,1,0,38,17,5
50.0,41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44,0,0,0,0,0,0,1,44,18,5
41.0,32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58,0,0,0,0,1,0,0,58,19,5
32.0,39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67,1,0,0,0,0,0,0,67,20,5
39.0,39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84,0,0,1,0,0,0,0,84,21,5
39.0,46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58,0,0,0,1,0,0,0,58,22,5
46.0,38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84,0,1,0,0,0,0,0,84,23,5
38.0,41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71,0,0,0,0,0,1,0,71,24,5
41.0,41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74,0,0,0,0,0,0,1,74,25,5
41.0,44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74,0,0,0,0,1,0,0,74,26,5
44.0,38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44,1,0,0,0,0,0,0,44,27,5
38.0,42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49,0,0,1,0,0,0,0,49,28,5
42.0,36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44,0,0,0,1,0,0,0,44,29,5
36.0,48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64,0,1,0,0,0,0,0,64,30,5
48.0,34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46,0,0,0,0,0,1,0,46,31,5
34.0,36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46,0,0,0,0,0,0,1,46,1,6
36.0,54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40,0,0,0,0,1,0,0,40,2,6
54.0,38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64,1,0,0,0,0,0,0,64,3,6
38.0,43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43,0,0,1,0,0,0,0,43,4,6
43.0,44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41,0,0,0,1,0,0,0,41,5,6
44.0,35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38,0,1,0,0,0,0,0,38,6,6
35.0,36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28,0,0,0,0,0,1,0,28,7,6
36.0,34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42,0,0,0,0,0,0,1,42,8,6
34.0,30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47,0,0,0,0,1,0,0,47,9,6
30.0,28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87,1,0,0,0,0,0,0,87,10,6
28.0,39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54,0,0,1,0,0,0,0,54,11,6
39.0,41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38,0,0,0,1,0,0,0,38,12,6
41.0,38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38,0,1,0,0,0,0,0,38,13,6
38.0,44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67,0,0,0,0,0,1,0,67,14,6
44.0,58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49,0,0,0,0,0,0,1,49,15,6
58.0,67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40,0,0,0,0,1,0,0,40,16,6
67.0,84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33,1,0,0,0,0,0,0,33,17,6
84.0,58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54,0,0,1,0,0,0,0,54,18,6
58.0,84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108,0,0,0,1,0,0,0,108,19,6
84.0,71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47,0,1,0,0,0,0,0,47,20,6
71.0,74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44,0,0,0,0,0,1,0,44,21,6
74.0,74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47,0,0,0,0,0,0,1,47,22,6
74.0,44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34,0,0,0,0,1,0,0,34,23,6
44.0,49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74,1,0,0,0,0,0,0,74,24,6
49.0,44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71,0,0,1,0,0,0,0,71,25,6
44.0,64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42,0,0,0,1,0,0,0,42,26,6
64.0,46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33,0,1,0,0,0,0,0,33,27,6
46.0,46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38,0,0,0,0,0,1,0,38,28,6
46.0,40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41,0,0,0,0,0,0,1,41,29,6
40.0,64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49,0,0,0,0,1,0,0,49,30,6
64.0,43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30,1,0,0,0,0,0,0,30,1,7
43.0,41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38,0,0,1,0,0,0,0,38,2,7
41.0,38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38.0,43,0,0,0,1,0,0,0,43,3,7
38.0,28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38.0,43.0,44,0,1,0,0,0,0,0,44,4,7
28.0,42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38.0,43.0,44.0,42,0,0,0,0,0,1,0,42,5,7
42.0,47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38.0,43.0,44.0,42.0,40,0,0,0,0,0,0,1,40,6,7
47.0,87.0,54.0,38.0,38.0,67.0,49.0,40.0,33.0,54.0,108.0,47.0,44.0,47.0,34.0,74.0,71.0,42.0,33.0,38.0,41.0,49.0,30.0,38.0,43.0,44.0,42.0,40.0,40,0,0,0,0,1,0,0,40,7,7
