lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,36.0,40.0,42.0,39.0,30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43,1,0,0,0,0,0,0,43,29,4
36.0,40.0,42.0,39.0,30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37,0,0,1,0,0,0,0,37,30,4
40.0,42.0,39.0,30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44,0,0,0,1,0,0,0,44,1,5
42.0,39.0,30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38,0,1,0,0,0,0,0,38,2,5
39.0,30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46,0,0,0,0,0,1,0,46,3,5
30.0,36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36,0,0,0,0,0,0,1,36,4,5
36.0,38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38,0,0,0,0,1,0,0,38,5,5
38.0,41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58,1,0,0,0,0,0,0,58,6,5
41.0,32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58.0,40,0,0,1,0,0,0,0,40,7,5
32.0,39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58.0,40.0,45,0,0,0,1,0,0,0,45,8,5
39.0,42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58.0,40.0,45.0,43,0,1,0,0,0,0,0,43,9,5
42.0,37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58.0,40.0,45.0,43.0,32,0,0,0,0,0,1,0,32,10,5
37.0,49.0,74.0,101.0,101.0,101.0,33.0,46.0,46.0,32.0,42.0,49.0,58.0,34.0,42.0,39.0,43.0,37.0,44.0,38.0,46.0,36.0,38.0,58.0,40.0,45.0,43.0,32.0,35,0,0,0,0,0,0,1,35,11,5
