lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,18.0,10.0,36.0,43.0,55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36,0,0,1,0,0,0,0,36,30,1
18.0,10.0,36.0,43.0,55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67,0,0,0,1,0,0,0,67,31,1
10.0,36.0,43.0,55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54,0,1,0,0,0,0,0,54,1,2
36.0,43.0,55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48,0,0,0,0,0,1,0,48,2,2
43.0,55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22,0,0,0,0,0,0,1,22,3,2
55.0,45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22,0,0,0,0,1,0,0,22,4,2
45.0,34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52,1,0,0,0,0,0,0,52,5,2
34.0,16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61,0,0,1,0,0,0,0,61,6,2
16.0,30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19,0,0,0,1,0,0,0,19,7,2
30.0,49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19.0,15,0,1,0,0,0,0,0,15,8,2
49.0,36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19.0,15.0,14,0,0,0,0,0,1,0,14,9,2
36.0,57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19.0,15.0,14.0,16,0,0,0,0,0,0,1,16,10,2
57.0,48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19.0,15.0,14.0,16.0,23,0,0,0,0,1,0,0,23,11,2
48.0,35.0,23.0,25.0,35.0,52.0,56.0,51.0,30.0,55.0,59.0,35.0,21.0,28.0,23.0,36.0,67.0,54.0,48.0,22.0,22.0,52.0,61.0,19.0,15.0,14.0,16.0,23.0,20,1,0,0,0,0,0,0,20,12,2
