lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,14.0,23.0,40.0,53.0,62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38,0,0,1,0,0,0,0,38,30,1
14.0,23.0,40.0,53.0,62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62,0,0,0,1,0,0,0,62,31,1
23.0,40.0,53.0,62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58,0,1,0,0,0,0,0,58,1,2
40.0,53.0,62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46,0,0,0,0,0,1,0,46,2,2
53.0,62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7,0,0,0,0,0,0,1,7,3,2
62.0,43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23,0,0,0,0,1,0,0,23,4,2
43.0,27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76,1,0,0,0,0,0,0,76,5,2
27.0,8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61,0,0,1,0,0,0,0,61,6,2
8.0,43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25,0,0,0,1,0,0,0,25,7,2
43.0,38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13,0,1,0,0,0,0,0,13,8,2
38.0,48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10,0,0,0,0,0,1,0,10,9,2
48.0,62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10,0,0,0,0,0,0,1,10,10,2
62.0,47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32,0,0,0,0,1,0,0,32,11,2
47.0,15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29,1,0,0,0,0,0,0,29,12,2
15.0,13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30,0,0,1,0,0,0,0,30,13,2
13.0,30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39,0,0,0,1,0,0,0,39,14,2
30.0,38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57,0,1,0,0,0,0,0,57,15,2
38.0,61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55,0,0,0,0,0,1,0,55,16,2
61.0,60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58,0,0,0,0,0,0,1,58,17,2
60.0,48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54,0,0,0,0,1,0,0,54,18,2
48.0,28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16,1,0,0,0,0,0,0,16,19,2
28.0,53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5,0,0,1,0,0,0,0,5,20,2
53.0,67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15,0,0,0,1,0,0,0,15,21,2
67.0,29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22,0,1,0,0,0,0,0,22,22,2
29.0,34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50,0,0,0,0,0,1,0,50,23,2
34.0,18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33,0,0,0,0,0,0,1,33,24,2
18.0,20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12,0,0,0,0,0,1,0,12,1,3
20.0,38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29,0,0,0,0,0,0,1,29,2,3
38.0,62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37,0,0,0,0,1,0,0,37,3,3
62.0,58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51,1,0,0,0,0,0,0,51,4,3
58.0,46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56,0,0,1,0,0,0,0,56,5,3
46.0,7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53,0,0,0,1,0,0,0,53,6,3
7.0,23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50,0,1,0,0,0,0,0,50,7,3
23.0,76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31,0,0,0,0,0,1,0,31,8,3
76.0,61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8,0,0,0,0,0,0,1,8,9,3
61.0,25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19,0,0,0,0,1,0,0,19,10,3
25.0,13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26,1,0,0,0,0,0,0,26,11,3
13.0,10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62,0,0,1,0,0,0,0,62,12,3
10.0,10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51,0,0,0,1,0,0,0,51,13,3
10.0,32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26,0,1,0,0,0,0,0,26,14,3
32.0,29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13,0,0,0,0,0,1,0,13,15,3
29.0,30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6,0,0,0,0,0,0,1,6,16,3
30.0,39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7,0,0,0,0,1,0,0,7,17,3
39.0,57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3,1,0,0,0,0,0,0,3,18,3
57.0,55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7,0,0,1,0,0,0,0,7,19,3
55.0,58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12,0,0,0,1,0,0,0,12,20,3
58.0,54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18,0,1,0,0,0,0,0,18,21,3
54.0,16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51,0,0,0,0,0,1,0,51,22,3
16.0,5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15,0,0,0,0,0,0,1,15,23,3
5.0,15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0,0,0,0,0,1,0,0,0,24,3
15.0,22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18,1,0,0,0,0,0,0,18,25,3
22.0,50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52,0,0,1,0,0,0,0,52,26,3
50.0,33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54,0,0,0,1,0,0,0,54,27,3
33.0,12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15,0,1,0,0,0,0,0,15,28,3
12.0,29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14,0,0,0,0,0,1,0,14,29,3
29.0,37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19,0,0,0,0,0,0,1,19,30,3
37.0,51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19.0,14,0,0,0,0,1,0,0,14,31,3
51.0,56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19.0,14.0,0,1,0,0,0,0,0,0,0,1,4
56.0,53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19.0,14.0,0.0,13,0,0,1,0,0,0,0,13,2,4
53.0,50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19.0,14.0,0.0,13.0,12,0,0,0,1,0,0,0,12,3,4
50.0,31.0,8.0,19.0,26.0,62.0,51.0,26.0,13.0,6.0,7.0,3.0,7.0,12.0,18.0,51.0,15.0,0.0,18.0,52.0,54.0,15.0,14.0,19.0,14.0,0.0,13.0,12.0,11,0,1,0,0,0,0,0,11,4,4
