lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,43.0,72.0,41.0,38.0,67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42,0,0,1,0,0,0,0,42,30,1
43.0,72.0,41.0,38.0,67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43,0,0,0,1,0,0,0,43,31,1
72.0,41.0,38.0,67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39,0,1,0,0,0,0,0,39,1,2
41.0,38.0,67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39,0,0,0,0,0,1,0,39,2,2
38.0,67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58,0,0,0,0,0,0,1,58,3,2
67.0,37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58.0,43,0,0,0,0,1,0,0,43,4,2
37.0,37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58.0,43.0,44,1,0,0,0,0,0,0,44,5,2
37.0,79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58.0,43.0,44.0,51,0,0,1,0,0,0,0,51,6,2
79.0,43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58.0,43.0,44.0,51.0,43,0,0,0,1,0,0,0,43,7,2
43.0,42.0,72.0,41.0,39.0,61.0,40.0,38.0,58.0,40.0,39.0,70.0,43.0,41.0,38.0,40.0,40.0,67.0,40.0,42.0,43.0,39.0,39.0,58.0,43.0,44.0,51.0,43.0,46,0,1,0,0,0,0,0,46,8,2
