lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,47.0,23.0,8.0,20.0,8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6,0,1,0,0,0,0,0,6,28,3
47.0,23.0,8.0,20.0,8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6,0,0,0,0,1,0,0,6,31,3
23.0,8.0,20.0,8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11,0,0,0,1,0,0,0,11,3,4
8.0,20.0,8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10,0,0,0,0,0,0,1,10,6,4
20.0,8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13,0,0,1,0,0,0,0,13,9,4
8.0,20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15,0,0,0,0,0,1,0,15,12,4
20.0,8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4,1,0,0,0,0,0,0,4,15,4
8.0,6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7,0,1,0,0,0,0,0,7,18,4
6.0,2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11,0,0,0,0,1,0,0,11,21,4
2.0,17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11,0,0,0,1,0,0,0,11,24,4
17.0,30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7,0,0,0,0,0,0,1,7,27,4
30.0,19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10,0,0,1,0,0,0,0,10,30,4
19.0,11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10.0,9,0,0,0,0,0,1,0,9,3,5
11.0,4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10.0,9.0,82,1,0,0,0,0,0,0,82,6,5
4.0,21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10.0,9.0,82.0,20,0,1,0,0,0,0,0,20,9,5
21.0,4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10.0,9.0,82.0,20.0,15,0,0,0,0,1,0,0,15,12,5
4.0,8.0,13.0,6.0,7.0,6.0,6.0,6.0,5.0,5.0,10.0,4.0,6.0,6.0,11.0,10.0,13.0,15.0,4.0,7.0,11.0,11.0,7.0,10.0,9.0,82.0,20.0,15.0,23,0,0,0,1,0,0,0,23,15,5
